,Site,Month,GWC,pH
1,Chapparal,Feb,51.35 ± 15.2,5.64 ± 0.41
2,Chapparal,Mar,20.51 ± 4.12,8.95 ± 1.01
3,Chapparal,Apr,9.71 ± 0.85,8.34 ± 0.24
4,Chapparal,Jul,2.38 ± 0.46,8.11 ± 0.41
5,Chapparal,Nov,21.84 ± 11.61,8.28 ± 0.28
6,Chapparal,Jan,20.64 ± 6.49,8 ± 0.27
7,Chapparal,Mar_25,39.95 ± 19.64,7.96 ± 0.23
8,Oak_Woodland,Feb,33.85 ± 6.86,6.2 ± 0.4
9,Oak_Woodland,Mar,61.34 ± 16.9,10.25 ± 1
10,Oak_Woodland,Apr,9.96 ± 0.65,9.29 ± 0.56
11,Oak_Woodland,Jul,2.66 ± 1.36,9.14 ± 0.64
12,Oak_Woodland,Nov,16.34 ± 8.95,8.21 ± 0.73
13,Oak_Woodland,Jan,11.9 ± 7.79,8.26 ± 0.32
14,Oak_Woodland,Mar_25,17.29 ± 14.57,8.06 ± 0.65
